2026-03-07 17:38:18 | WARNING  | GatewayMapper | 使用特权端口 80，可能需要管理员权限
2026-03-07 17:38:18 | DEBUG    | GatewayMapper | 已加载现有加密密钥
2026-03-07 17:38:18 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:38:18 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:38:18 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:38:18 | INFO     | GatewayMapper | 已添加预设: 测试服务器
2026-03-07 17:38:18 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:38:18 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:38:18 | INFO     | GatewayMapper | 已添加预设: 测试服务器
2026-03-07 17:38:18 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:38:18 | INFO     | GatewayMapper | 已删除预设: 测试服务器
2026-03-07 17:38:18 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:38:18 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:38:18 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:38:18 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-07 17:38:18 | WARNING  | GatewayMapper | 使用特权端口 80，可能需要管理员权限
2026-03-07 17:38:18 | WARNING  | GatewayMapper | 使用特权端口 443，可能需要管理员权限
2026-03-07 17:40:48 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-07 17:40:48 | WARNING  | GatewayMapper | 使用特权端口 80，可能需要管理员权限
2026-03-07 17:40:48 | DEBUG    | GatewayMapper | 已加载现有加密密钥
2026-03-07 17:40:48 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:40:48 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:40:48 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:40:48 | INFO     | GatewayMapper | 已添加预设: 测试服务器
2026-03-07 17:40:48 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:40:48 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:40:48 | INFO     | GatewayMapper | 已添加预设: 测试服务器
2026-03-07 17:40:48 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:40:48 | INFO     | GatewayMapper | 已删除预设: 测试服务器
2026-03-07 17:40:48 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:40:48 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:40:48 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:40:48 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-07 17:40:48 | WARNING  | GatewayMapper | 使用特权端口 80，可能需要管理员权限
2026-03-07 17:40:48 | WARNING  | GatewayMapper | 使用特权端口 443，可能需要管理员权限
2026-03-07 17:44:36 | INFO     | GatewayMapper | GatewayMapper 启动中...
2026-03-07 17:44:36 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:44:36 | INFO     | GatewayMapper | 系统托盘已启动
2026-03-07 17:45:15 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-07 17:45:15 | DEBUG    | GatewayMapper | 已加载现有加密密钥
2026-03-07 17:45:15 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:45:15 | INFO     | GatewayMapper | 已添加预设: OpenClaw
2026-03-07 17:45:15 | INFO     | GatewayMapper | 已保存预设: OpenClaw
2026-03-07 17:45:19 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-07 17:45:19 | INFO     | GatewayMapper | 使用密码认证连接 122.51.4.170
